area_fips,area_title,avg_emplvl_1990,avg_wkly_wage_1990,avg_emplvl_2015,avg_wkly_wage_2015,wage_pct_change
01001,"Autauga County, Alabama",7758,360,10326,676,0
01003,"Baldwin County, Alabama",26174,279,64517,623,1
01005,"Barbour County, Alabama",9208,312,8167,652,1
01007,"Bibb County, Alabama",3886,271,4002,675,1
01009,"Blount County, Alabama",7212,266,7932,614,1
01011,"Bullock County, Alabama",2963,266,2919,576,1
01013,"Butler County, Alabama",5893,297,6805,592,0
01015,"Calhoun County, Alabama",44945,347,43509,675,0
01017,"Chambers County, Alabama",13648,337,7959,638,0
01019,"Cherokee County, Alabama",4241,274,5083,606,1
01021,"Chilton County, Alabama",6081,279,9139,624,1
01023,"Choctaw County, Alabama",5426,487,3338,896,0
01025,"Clarke County, Alabama",8381,338,8253,689,1
01027,"Clay County, Alabama",4348,275,3861,592,1
01029,"Cleburne County, Alabama",2551,269,2175,754,1
01031,"Coffee County, Alabama",12241,279,15031,601,1
01033,"Colbert County, Alabama",22417,452,23311,778,0
01035,"Conecuh County, Alabama",3889,290,3504,605,1
01037,"Coosa County, Alabama",2157,304,1277,636,1
01039,"Covington County, Alabama",13342,287,12082,611,1
01041,"Crenshaw County, Alabama",3666,244,3733,629,1
01043,"Cullman County, Alabama",20174,325,26961,672,1
01045,"Dale County, Alabama",18250,370,16259,925,1
01047,"Dallas County, Alabama",16618,301,12756,660,1
01049,"DeKalb County, Alabama",18569,291,20660,606,1
01051,"Elmore County, Alabama",9518,312,18947,616,0
01053,"Escambia County, Alabama",12012,321,12710,699,1
01055,"Etowah County, Alabama",33568,370,34837,655,0
01057,"Fayette County, Alabama",5705,355,3897,598,0
01059,"Franklin County, Alabama",8139,288,9919,621,1
01061,"Geneva County, Alabama",5960,266,4848,580,1
01063,"Greene County, Alabama",2467,282,1722,581,1
01065,"Hale County, Alabama",3051,251,2761,642,1
01067,"Henry County, Alabama",4552,287,3384,664,1
01069,"Houston County, Alabama",40310,341,46175,739,1
01071,"Jackson County, Alabama",15557,347,15996,617,0
01073,"Jefferson County, Alabama",336772,439,334300,1067,1
01075,"Lamar County, Alabama",5719,308,3273,679,1
01077,"Lauderdale County, Alabama",26063,305,28484,623,1
01079,"Lawrence County, Alabama",6744,413,4577,618,0
01081,"Lee County, Alabama",33483,366,54476,685,0
01083,"Limestone County, Alabama",21058,516,22345,810,0
01085,"Lowndes County, Alabama",3034,371,2263,833,1
01087,"Macon County, Alabama",7040,320,4700,804,1
01089,"Madison County, Alabama",131051,473,183367,1053,1
01091,"Marengo County, Alabama",6802,314,6839,739,1
01093,"Marion County, Alabama",10262,312,9434,596,0
01095,"Marshall County, Alabama",29785,306,33940,634,1
01097,"Mobile County, Alabama",141470,390,165733,833,1
01099,"Monroe County, Alabama",10269,375,6076,753,1
01101,"Montgomery County, Alabama",111166,370,127495,802,1
01103,"Morgan County, Alabama",41110,371,46198,789,1
01105,"Perry County, Alabama",2817,255,2095,546,1
01107,"Pickens County, Alabama",4550,262,3707,675,1
01109,"Pike County, Alabama",10435,298,13548,727,1
01111,"Randolph County, Alabama",5408,297,4820,578,0
01113,"Russell County, Alabama",12420,330,13423,676,1
01115,"St. Clair County, Alabama",9236,313,18304,656,1
01117,"Shelby County, Alabama",27628,397,81646,991,1
01119,"Sumter County, Alabama",4690,301,3040,677,1
01121,"Talladega County, Alabama",23211,359,29362,787,1
01123,"Tallapoosa County, Alabama",16976,322,13100,601,0
01125,"Tuscaloosa County, Alabama",60126,389,90398,797,1
01127,"Walker County, Alabama",18361,388,18267,673,0
01129,"Washington County, Alabama",5289,516,3523,1123,1
01131,"Wilcox County, Alabama",3902,369,2719,781,1
01133,"Winston County, Alabama",8264,275,7217,595,1
02013,"Aleutian East Borough, Alaska",1307,426,2762,704,0
02016,"Aleutian West Census Area, Alaska",3930,469,4483,917,0
02020,"Anchorage Borough, Alaska",104850,579,151080,1102,0
02050,"Bethel Census Area, Alaska",4661,413,6746,752,0
02060,"Bristol Bay Borough, Alaska",724,417,508,949,1
02070,"Dillingham Census Area, Alaska",1951,393,2435,770,0
02090,"Fairbanks North Star Borough, Alaska",25243,511,35419,931,0
02100,"Haines Borough, Alaska",742,426,725,689,0
02110,"Juneau Borough, Alaska",13659,535,16731,977,0
02122,"Kenai Peninsula Borough, Alaska",11965,561,18702,924,0
02130,"Ketchikan Gateway Borough, Alaska",6824,528,6330,893,0
02150,"Kodiak Island Borough, Alaska",5360,408,6247,806,0
02170,"Matanuska-Susitna Borough, Alaska",6546,465,21455,768,0
02180,"Nome Census Area, Alaska",2731,469,3824,867,0
02185,"North Slope Borough, Alaska",6479,984,16463,2057,1
02188,"Northwest Arctic Borough, Alaska",2179,533,2761,1226,1
02220,"Sitka Borough, Alaska",3765,464,3862,804,0
02240,"Southeast Fairbanks Census Area, Alaska",1267,429,2368,1278,1
02261,"Valdez-Cordova Census Area, Alaska",3665,616,3915,1096,0
02270,"Wade Hampton Census Area, Alaska",1381,343,2261,477,0
02290,"Yukon-Koyukuk Census Area, Alaska",2260,446,1982,685,0
04001,"Apache County, Arizona",13752,388,17895,718,0
04003,"Cochise County, Arizona",25973,384,34966,790,1
04005,"Coconino County, Arizona",38107,318,58575,748,1
04007,"Gila County, Arizona",11026,388,14735,785,1
04009,"Graham County, Arizona",5591,322,8517,769,1
04011,"Greenlee County, Arizona",2786,552,4584,1545,1
04012,"La Paz County, Arizona",4519,317,5536,600,0
04013,"Maricopa County, Arizona",973055,428,1796067,986,1
04015,"Mohave County, Arizona",25691,315,46440,656,1
04017,"Navajo County, Arizona",19556,362,26114,705,0
04019,"Pima County, Arizona",249924,364,354417,819,1
04021,"Pinal County, Arizona",34378,375,58039,746,0
04023,"Santa Cruz County, Arizona",11524,315,14323,771,1
04025,"Yavapai County, Arizona",27018,319,58789,671,1
04027,"Yuma County, Arizona",46121,291,72770,640,1
05001,"Arkansas County, Arkansas",8330,319,9936,681,1
05003,"Ashley County, Arkansas",8982,397,6945,754,0
05005,"Baxter County, Arkansas",9832,282,14595,572,1
05007,"Benton County, Arkansas",42429,368,106226,1303,2
05009,"Boone County, Arkansas",12043,293,13615,649,1
05011,"Bradley County, Arkansas",3805,331,3768,567,0
05013,"Calhoun County, Arkansas",4165,401,2612,961,1
05015,"Carroll County, Arkansas",6162,277,10056,506,0
05017,"Chicot County, Arkansas",3608,261,3235,537,1
05019,"Clark County, Arkansas",7234,281,9048,597,1
05021,"Clay County, Arkansas",5651,254,3437,517,1
05023,"Cleburne County, Arkansas",4738,277,6565,560,1
05025,"Cleveland County, Arkansas",997,255,1009,526,1
05027,"Columbia County, Arkansas",9170,335,8291,693,1
05029,"Conway County, Arkansas",5771,331,6960,658,0
05031,"Craighead County, Arkansas",29082,326,46041,671,1
05033,"Crawford County, Arkansas",10860,302,19104,629,1
05035,"Crittenden County, Arkansas",13821,290,16497,598,1
05037,"Cross County, Arkansas",5457,287,5004,576,1
05039,"Dallas County, Arkansas",3416,299,2716,561,0
05041,"Desha County, Arkansas",4866,293,4396,601,1
05043,"Drew County, Arkansas",5780,306,6360,588,0
05045,"Faulkner County, Arkansas",20246,311,40518,722,1
05047,"Franklin County, Arkansas",3409,283,4472,656,1
05049,"Fulton County, Arkansas",1628,219,1880,490,1
05051,"Garland County, Arkansas",26672,292,35699,617,1
05053,"Grant County, Arkansas",3258,298,3922,653,1
05055,"Greene County, Arkansas",10457,311,15443,661,1
05057,"Hempstead County, Arkansas",7267,286,7690,609,1
05059,"Hot Spring County, Arkansas",6459,339,8386,620,0
05061,"Howard County, Arkansas",7256,298,7274,546,0
05063,"Independence County, Arkansas",13233,328,14661,632,0
05065,"Izard County, Arkansas",2774,274,3094,549,1
05067,"Jackson County, Arkansas",5677,317,5214,694,1
05069,"Jefferson County, Arkansas",32544,362,28212,711,0
05071,"Johnson County, Arkansas",5212,274,8365,568,1
05073,"Lafayette County, Arkansas",1975,275,1235,606,1
05075,"Lawrence County, Arkansas",4723,258,4076,544,1
05077,"Lee County, Arkansas",2227,257,1975,601,1
05079,"Lincoln County, Arkansas",2393,293,2948,625,1
05081,"Little River County, Arkansas",4927,468,3462,1082,1
05083,"Logan County, Arkansas",5243,264,5453,554,1
05085,"Lonoke County, Arkansas",7657,287,13479,581,1
05087,"Madison County, Arkansas",1996,269,3184,588,1
05089,"Marion County, Arkansas",2781,253,3722,1026,3
05091,"Miller County, Arkansas",12751,357,13194,668,0
05093,"Mississippi County, Arkansas",18340,320,18103,764,1
05095,"Monroe County, Arkansas",2893,234,2188,524,1
05097,"Montgomery County, Arkansas",1215,247,1362,474,0
